cko_location,cko_location_descr,itype,itype_descr,itm_collection,itm_call_number,itm_sort_order,cko_month,cki_month,itm_bib_id,itm_barcode,itm_title,jhed_ou,jhed_title,jhed_department,edupersonorgdn,edupersonorgunitdn,jheisisdegreesubtype1,jheprimarycampus,edupersonaffiliation,jheisiscurrentlyenrolled,jheisisdegreesubtype2,johnshopkinsedumajor
emsel,Stage - Milton S. Eisenhower Library,scirc,SAIS Circulating Item,SAIS Main Stacks,"E	I.I.E",HN32935 P34 42001,201712,201804,2189527,30176100749433,Marketing democracy : power and social movements in post-dictatorship Chile /,Political Science,AE GR Graduate,Political Science,The Johns Hopkins University,Krieger School of Arts and Sciences,ASEN - Grad,Homewood Campus,Student,Y,Degree,Political Science
ssais,Stage - SAIS Library,scirc,SAIS Circulating Item,SAIS Main Stacks,EDM.8.E,E31838 L28 S75 41990,201802,201804,560400,30176100014150,In a little kingdom /,Intl Development,SA GR 1st Year,Intl Development,The Johns Hopkins University,Nitze School of Advanced International Studies,SAIS,SAIS DC,Student,Y,MA,Intl Development
ssais,Stage - SAIS Library,scirc,SAIS Circulating Item,SAIS Main Stacks,"E	I.I.E",UA38325 B42 41990,201802,201804,1511297,30176000632929,Cooperative security in northeast Asia : a China-Japan-South Korea coalition app,ERE,SA GR 1st Year,ERE,The Johns Hopkins University,Nitze School of Advanced International Studies,SAIS,Washington DC Center,Student,Y,MA,ERE
ssais,Stage - SAIS Library,scirc,SAIS Circulating Item,SAIS Main Stacks,EI.E,D3843 H26 41991,201803,201804,208120,30176100019027,The Cold War as history /,Intelligence,AP GR Special,Intelligence,The Johns Hopkins University,Advanced Academic Programs - AS,AAP,Washington DC Center,Student,Y,PGP,Intelligence
ssais,Stage - SAIS Library,scirc,SAIS Circulating Item,SAIS Main Stacks,EI.E,E3208 M14 41992,201802,201804,207094,30176100157421,The war for America : 1775-1783 /,American Foreign Policy,LECTURER,American Foreign Policy,The Johns Hopkins University,SAIS,SAIS Campus,Faculty
